식품코드,식품명,대표식품명,식품대분류명,식품중분류명,식품소분류명,식품기원명
G00001,국밥_돼지머리,국밥,밥류,돼지머리,,가정식(분석 함량)
G00002,국밥_순대국밥,국밥,밥류,순대국밥,,가정식(분석 함량)
G00003,국밥_콩나물,국밥,밥류,콩나물,,가정식(분석 함량)
G00004,기장밥,기장밥,밥류,,,가정식(분석 함량)
G00005,김밥,김밥,밥류,,,가정식(분석 함량)
G00006,김밥_김치,김밥,밥류,김치,,가정식(분석 함량)
G00007,김밥_날치알,김밥,밥류,날치알,,가정식(분석 함량)
G00008,김밥_돈가스,김밥,밥류,돈가스,,가정식(분석 함량)
G00009,김밥_소고기,김밥,밥류,소고기,,가정식(분석 함량)
G00010,김밥_참치,김밥,밥류,참치,,가정식(분석 함량)
G00011,김밥_채소,김밥,밥류,채소,,가정식(분석 함량)
G00012,김밥_치즈,김밥,밥류,치즈,,가정식(분석 함량)
G00013,김밥_풋고추,김밥,밥류,풋고추,,가정식(분석 함량)
G00014,덮밥_낙지,덮밥,밥류,낙지,,가정식(분석 함량)
G00015,덮밥_닭고기,덮밥,밥류,닭고기,,가정식(분석 함량)
G00016,덮밥_돼지고기(제육),덮밥,밥류,돼지고기(제육),,가정식(분석 함량)
G00017,덮밥_불고기,덮밥,밥류,불고기,,가정식(분석 함량)
G00018,덮밥_오징어,덮밥,밥류,오징어,,가정식(분석 함량)
G00019,보리밥,보리밥,밥류,,,가정식(분석 함량)
G00020,볶음밥,볶음밥,밥류,,,가정식(분석 함량)
G00021,볶음밥_계란,볶음밥,밥류,계란,,가정식(분석 함량)
G00022,볶음밥_김치,볶음밥,밥류,김치,,가정식(분석 함량)
G00023,볶음밥_새우,볶음밥,밥류,새우,,가정식(분석 함량)
G00024,볶음밥_소고기,볶음밥,밥류,소고기,,가정식(분석 함량)
G00025,볶음밥_참치,볶음밥,밥류,참치,,가정식(분석 함량)
G00026,볶음밥_채소,볶음밥,밥류,채소,,가정식(분석 함량)
G00027,볶음밥_표고버섯,볶음밥,밥류,표고버섯,,가정식(분석 함량)
G00028,비빔밥,비빔밥,밥류,,,가정식(분석 함량)
G00029,비빔밥_돌솥,비빔밥,밥류,돌솥,,가정식(분석 함량)
G00030,비빔밥_육회,비빔밥,밥류,육회,,가정식(분석 함량)
G00031,삼각김밥_참치마요네즈,삼각김밥,밥류,참치마요네즈,,가정식(분석 함량)
G00032,수수밥,수수밥,밥류,,,가정식(분석 함량)
G00033,알밥,알밥,밥류,,,가정식(분석 함량)
G00034,영양돌솥밥,영양돌솥밥,밥류,,,가정식(분석 함량)
G00035,오므라이스,오므라이스,밥류,,,가정식(분석 함량)
G00036,자장밥,자장밥,밥류,,,가정식(분석 함량)
G00037,잡곡밥,잡곡밥,밥류,,,가정식(분석 함량)
G00038,잡채밥,잡채밥,밥류,,,가정식(분석 함량)
G00039,주먹밥_소고기,주먹밥,밥류,소고기,,가정식(분석 함량)
G00040,짬뽕밥,짬뽕밥,밥류,,,가정식(분석 함량)
G00041,차조밥,차조밥,밥류,,,가정식(분석 함량)
G00042,찰밥,찰밥,밥류,,,가정식(분석 함량)
G00043,초밥_모듬,초밥,밥류,모듬,,가정식(분석 함량)
G00044,초밥_유부초밥,초밥,밥류,유부초밥,,가정식(분석 함량)
G00045,카레라이스,카레라이스,밥류,,,가정식(분석 함량)
G00046,콩나물밥,콩나물밥,밥류,,,가정식(분석 함량)
G00047,콩밥_검정콩,콩밥,밥류,검정콩,,가정식(분석 함량)
G00048,콩밥_완두콩,콩밥,밥류,완두콩,,가정식(분석 함량)
G00049,하이라이스,하이라이스,밥류,,,가정식(분석 함량)
G00050,현미밥,현미밥,밥류,,,가정식(분석 함량)
G00051,회덮밥_모듬,회덮밥,밥류,모듬,,가정식(분석 함량)
I00001,가래떡,가래떡,빵 및 과자류,,,가정식(분석 함량)
I00002,경단_깨,경단,빵 및 과자류,깨,,가정식(분석 함량)
I00003,꿀떡,꿀떡,빵 및 과자류,,,가정식(분석 함량)
I00004,모듬찰떡,모듬찰떡,빵 및 과자류,,,가정식(분석 함량)
I00005,백설기,백설기,빵 및 과자류,,,가정식(분석 함량)
I00006,송편_깨,송편,빵 및 과자류,깨,,가정식(분석 함량)
I00007,시루떡,시루떡,빵 및 과자류,,,가정식(분석 함량)
I00008,약식,약식,빵 및 과자류,,,가정식(분석 함량)
I00009,인절미,인절미,빵 및 과자류,,,가정식(분석 함량)
I00010,절편_쑥,절편,빵 및 과자류,쑥,,가정식(분석 함량)
I00011,증편,증편,빵 및 과자류,,,가정식(분석 함량)
I00012,찹쌀떡_팥,찹쌀떡,빵 및 과자류,팥,,가정식(분석 함량)
I00013,도넛_링도넛,도넛,빵 및 과자류,링도넛,,가정식(분석 함량)
I00014,도넛_찹쌀,도넛,빵 및 과자류,찹쌀,,가정식(분석 함량)
I00015,마늘빵,마늘빵,빵 및 과자류,,,가정식(분석 함량)
I00016,머핀,머핀,빵 및 과자류,,,가정식(분석 함량)
I00017,모닝빵,모닝빵,빵 및 과자류,,,가정식(분석 함량)
I00018,모카빵,모카빵,빵 및 과자류,,,가정식(분석 함량)
I00019,베이글,베이글,빵 및 과자류,,,가정식(분석 함량)
I00020,샌드위치_닭가슴살,샌드위치,빵 및 과자류,닭가슴살,,가정식(분석 함량)
I00021,샌드위치_모듬,샌드위치,빵 및 과자류,모듬,,가정식(분석 함량)
I00022,샌드위치_참치,샌드위치,빵 및 과자류,참치,,가정식(분석 함량)
I00023,샌드위치_채소,샌드위치,빵 및 과자류,채소,,가정식(분석 함량)
I00024,샌드위치_햄_달걀,샌드위치,빵 및 과자류,햄,달걀,가정식(분석 함량)
I00025,소보로빵,소보로빵,빵 및 과자류,,,가정식(분석 함량)
I00026,식빵,식빵,빵 및 과자류,,,가정식(분석 함량)
I00027,초코소라빵,초코소라빵,빵 및 과자류,,,가정식(분석 함량)
I00028,츄러스,츄러스,빵 및 과자류,,,가정식(분석 함량)
I00029,카스텔라,카스텔라,빵 및 과자류,,,가정식(분석 함량)
I00030,케이크_롤케이크,케이크,빵 및 과자류,롤케이크,,가정식(분석 함량)
I00031,케이크_생크림케이크,케이크,빵 및 과자류,생크림케이크,,가정식(분석 함량)
I00032,크로와상,크로와상,빵 및 과자류,,,가정식(분석 함량)
I00033,파이/만주_사과파이,파이/만주,빵 및 과자류,사과파이,,가정식(분석 함량)
I00034,페이스트리,페이스트리,빵 및 과자류,,,가정식(분석 함량)
I00035,피자_콤비네이션피자,피자,빵 및 과자류,콤비네이션피자,,가정식(분석 함량)
I00036,피자빵,피자빵,빵 및 과자류,,,가정식(분석 함량)
I00037,햄버거,햄버거,빵 및 과자류,,,가정식(분석 함량)
I00038,햄버거_불고기버거,햄버거,빵 및 과자류,불고기버거,,가정식(분석 함량)
I00039,호떡_견과류,호떡,빵 및 과자류,견과류,,가정식(분석 함량)
F00001,간자장,간자장,면 및 만두류,,,가정식(분석 함량)
F00002,국수_막국수,국수,면 및 만두류,막국수,,가정식(분석 함량)
F00003,국수_비빔국수,국수,면 및 만두류,비빔국수,,가정식(분석 함량)
F00004,국수_잔치국수,국수,면 및 만두류,잔치국수,,가정식(분석 함량)
F00005,국수_쟁반막국수,국수,면 및 만두류,쟁반막국수,,가정식(분석 함량)
F00006,냉면_물냉면,냉면,면 및 만두류,물냉면,,가정식(분석 함량)
F00007,냉면_비빔냉면,냉면,면 및 만두류,비빔냉면,,가정식(분석 함량)
F00008,냉면_회냉면_홍어,냉면,면 및 만두류,회냉면,홍어,가정식(분석 함량)
F00009,떡국,떡국,면 및 만두류,,,가정식(분석 함량)
F00010,떡만두국,떡만두국,면 및 만두류,,,가정식(분석 함량)
F00011,라면,라면,면 및 만두류,,,가정식(분석 함량)
F00012,라면_달걀,라면,면 및 만두류,달걀,,가정식(분석 함량)
F00013,라면_떡,라면,면 및 만두류,떡,,가정식(분석 함량)
F00014,만두_고기만두,만두,면 및 만두류,고기만두,,가정식(분석 함량)
F00015,만두_군만두,만두,면 및 만두류,군만두,,가정식(분석 함량)
F00016,만두_김치만두,만두,면 및 만두류,김치만두,,가정식(분석 함량)
F00017,만두_물만두,만두,면 및 만두류,물만두,,가정식(분석 함량)
F00018,만두국_사골,만두국,면 및 만두류,사골,,가정식(분석 함량)
F00019,메밀국수_온면,메밀국수,면 및 만두류,온면,,가정식(분석 함량)
F00020,수제비,수제비,면 및 만두류,,,가정식(분석 함량)
F00021,스파게티_미트볼,스파게티,면 및 만두류,미트볼,,가정식(분석 함량)
F00022,우동_일식,우동,면 및 만두류,일식,,가정식(분석 함량)
F00023,우동볶음,우동볶음,면 및 만두류,,,가정식(분석 함량)
F00024,월남쌈,월남쌈,면 및 만두류,,,가정식(분석 함량)
F00025,자장면,자장면,면 및 만두류,,,가정식(분석 함량)
F00026,짬뽕,짬뽕,면 및 만두류,,,가정식(분석 함량)
F00027,쫄면,쫄면,면 및 만두류,,,가정식(분석 함량)
F00028,칼국수,칼국수,면 및 만두류,,,가정식(분석 함량)
F00029,칼국수_바지락,칼국수,면 및 만두류,바지락,,가정식(분석 함량)
F00030,콩국수,콩국수,면 및 만두류,,,가정식(분석 함량)
S00001,닭죽,닭죽,죽 및 스프류,,,가정식(분석 함량)
S00002,스프_양송이버섯,스프,죽 및 스프류,양송이버섯,,가정식(분석 함량)
S00003,오리죽,오리죽,죽 및 스프류,,,가정식(분석 함량)
S00004,전복죽,전복죽,죽 및 스프류,,,가정식(분석 함량)
S00005,채소죽,채소죽,죽 및 스프류,,,가정식(분석 함량)
S00006,팥죽,팥죽,죽 및 스프류,,,가정식(분석 함량)
S00007,호박죽,호박죽,죽 및 스프류,,,가정식(분석 함량)
S00008,흑임자 죽,흑임자 죽,죽 및 스프류,,,가정식(분석 함량)
C00001,갈비탕,갈비탕,국 및 탕류,,,가정식(분석 함량)
C00002,감자국,감자국,국 및 탕류,,,가정식(분석 함량)
C00003,곰탕,곰탕,국 및 탕류,,,가정식(분석 함량)
C00004,곰탕_우거지,곰탕,국 및 탕류,우거지,,가정식(분석 함량)
C00005,굴국_무,굴국,국 및 탕류,무,,가정식(분석 함량)
C00006,김치국,김치국,국 및 탕류,,,가정식(분석 함량)
C00007,김치국_콩나물,김치국,국 및 탕류,콩나물,,가정식(분석 함량)
C00008,내장탕,내장탕,국 및 탕류,,,가정식(분석 함량)
C00009,냉국_미역,냉국,국 및 탕류,미역,,가정식(분석 함량)
C00010,냉국_미역_오이,냉국,국 및 탕류,미역,오이,가정식(분석 함량)
C00011,달걀국,달걀국,국 및 탕류,,,가정식(분석 함량)
C00012,달걀탕_순두부,달걀탕,국 및 탕류,순두부,,가정식(분석 함량)
C00013,닭곰탕,닭곰탕,국 및 탕류,,,가정식(분석 함량)
C00014,도가니탕,도가니탕,국 및 탕류,,,가정식(분석 함량)
C00015,된장국_감자,된장국,국 및 탕류,감자,,가정식(분석 함량)
C00016,된장국_냉이,된장국,국 및 탕류,냉이,,가정식(분석 함량)
C00017,된장국_미역,된장국,국 및 탕류,미역,,가정식(분석 함량)
C00018,된장국_배추,된장국,국 및 탕류,배추,,가정식(분석 함량)
C00019,된장국_시금치,된장국,국 및 탕류,시금치,,가정식(분석 함량)
C00020,된장국_시래기,된장국,국 및 탕류,시래기,,가정식(분석 함량)
C00021,된장국_쑥,된장국,국 및 탕류,쑥,,가정식(분석 함량)
C00022,된장국_아욱,된장국,국 및 탕류,아욱,,가정식(분석 함량)
C00023,된장국_얼갈이배추,된장국,국 및 탕류,얼갈이배추,,가정식(분석 함량)
C00024,된장국_우거지,된장국,국 및 탕류,우거지,,가정식(분석 함량)
C00025,된장국_콩나물,된장국,국 및 탕류,콩나물,,가정식(분석 함량)
C00026,된장국_해물,된장국,국 및 탕류,해물,,가정식(분석 함량)
C00027,된장국_호박,된장국,국 및 탕류,호박,,가정식(분석 함량)
C00028,된장국_호박잎,된장국,국 및 탕류,호박잎,,가정식(분석 함량)
C00029,무국_소고기,무국,국 및 탕류,소고기,,가정식(분석 함량)
C00030,무국_홍합,무국,국 및 탕류,홍합,,가정식(분석 함량)
C00031,묵국_메밀묵,묵국,국 및 탕류,메밀묵,,가정식(분석 함량)
C00032,미역국,미역국,국 및 탕류,,,가정식(분석 함량)
C00033,미역국_대합,미역국,국 및 탕류,대합,,가정식(분석 함량)
C00034,미역국_새우,미역국,국 및 탕류,새우,,가정식(분석 함량)
C00035,미역국_소고기,미역국,국 및 탕류,소고기,,가정식(분석 함량)
C00036,배추국_소고기,배추국,국 및 탕류,소고기,,가정식(분석 함량)
C00037,북어국,북어국,국 및 탕류,,,가정식(분석 함량)
C00038,사골국,사골국,국 및 탕류,,,가정식(분석 함량)
C00039,삼계탕,삼계탕,국 및 탕류,,,가정식(분석 함량)
C00040,새우탕,새우탕,국 및 탕류,,,가정식(분석 함량)
C00041,설렁탕,설렁탕,국 및 탕류,,,가정식(분석 함량)
C00042,순대국,순대국,국 및 탕류,,,가정식(분석 함량)
C00043,어묵국(어묵탕),어묵국(어묵탕),국 및 탕류,,,가정식(분석 함량)
C00044,오징어국,오징어국,국 및 탕류,,,가정식(분석 함량)
C00045,육개장,육개장,국 및 탕류,,,가정식(분석 함량)
C00046,육개장_닭고기,육개장,국 및 탕류,닭고기,,가정식(분석 함량)
C00047,장어탕,장어탕,국 및 탕류,,,가정식(분석 함량)
C00048,재첩국,재첩국,국 및 탕류,,,가정식(분석 함량)
C00049,조개국,조개국,국 및 탕류,,,가정식(분석 함량)
C00050,콩나물국,콩나물국,국 및 탕류,,,가정식(분석 함량)
C00051,토란국,토란국,국 및 탕류,,,가정식(분석 함량)
C00052,해장국_뼈다귀,해장국,국 및 탕류,뼈다귀,,가정식(분석 함량)
C00053,해장국_선지,해장국,국 및 탕류,선지,,가정식(분석 함량)
C00054,동태국,동태국,국 및 탕류,,,가정식(분석 함량)
T00001,갈치찌개,갈치찌개,찌개 및 전골류,,,가정식(분석 함량)
T00002,감자탕,감자탕,찌개 및 전골류,,,가정식(분석 함량)
T00003,김치전골,김치전골,찌개 및 전골류,,,가정식(분석 함량)
T00004,김치찌개_꽁치,김치찌개,찌개 및 전골류,꽁치,,가정식(분석 함량)
T00005,김치찌개_돼지고기,김치찌개,찌개 및 전골류,돼지고기,,가정식(분석 함량)
T00006,김치찌개_어묵,김치찌개,찌개 및 전골류,어묵,,가정식(분석 함량)
T00007,김치찌개_참치,김치찌개,찌개 및 전골류,참치,,가정식(분석 함량)
T00008,김치찌개_햄,김치찌개,찌개 및 전골류,햄,,가정식(분석 함량)
T00009,꽃게탕,꽃게탕,찌개 및 전골류,,,가정식(분석 함량)
T00010,낙지전골,낙지전골,찌개 및 전골류,,,가정식(분석 함량)
T00011,동태찌개,동태찌개,찌개 및 전골류,,,가정식(분석 함량)
T00012,돼지고기찌개,돼지고기찌개,찌개 및 전골류,,,가정식(분석 함량)
T00013,된장찌개,된장찌개,찌개 및 전골류,,,가정식(분석 함량)
T00014,된장찌개_냉이,된장찌개,찌개 및 전골류,냉이,,가정식(분석 함량)
T00015,된장찌개_달래,된장찌개,찌개 및 전골류,달래,,가정식(분석 함량)
T00016,된장찌개_두부,된장찌개,찌개 및 전골류,두부,,가정식(분석 함량)
T00017,된장찌개_바지락,된장찌개,찌개 및 전골류,바지락,,가정식(분석 함량)
T00018,두부찌개_고추장,두부찌개,찌개 및 전골류,고추장,,가정식(분석 함량)
T00019,두부찌개_소고기_고추장,두부찌개,찌개 및 전골류,소고기,고추장,가정식(분석 함량)
T00020,두부찌개_소고기_된장,두부찌개,찌개 및 전골류,소고기,된장,가정식(분석 함량)
T00021,매운탕_대구,매운탕,찌개 및 전골류,대구,,가정식(분석 함량)
T00022,매운탕_해물,매운탕,찌개 및 전골류,해물,,가정식(분석 함량)
T00023,버섯전골,버섯전골,찌개 및 전골류,,,가정식(분석 함량)
T00024,부대찌개,부대찌개,찌개 및 전골류,,,가정식(분석 함량)
T00025,샤브샤브_버섯,샤브샤브,찌개 및 전골류,버섯,,가정식(분석 함량)
T00026,샤브샤브_소고기,샤브샤브,찌개 및 전골류,소고기,,가정식(분석 함량)
T00027,소고기전골,소고기전골,찌개 및 전골류,,,가정식(분석 함량)
T00028,순두부찌개_김치,순두부찌개,찌개 및 전골류,김치,,가정식(분석 함량)
T00029,알탕,알탕,찌개 및 전골류,,,가정식(분석 함량)
T00030,오리백숙,오리백숙,찌개 및 전골류,,,가정식(분석 함량)
T00031,오리탕,오리탕,찌개 및 전골류,,,가정식(분석 함량)
T00032,오징어찌개,오징어찌개,찌개 및 전골류,,,가정식(분석 함량)
T00033,청국장찌개,청국장찌개,찌개 및 전골류,,,가정식(분석 함량)
T00034,추어탕,추어탕,찌개 및 전골류,,,가정식(분석 함량)
T00035,콩비지찌개,콩비지찌개,찌개 및 전골류,,,가정식(분석 함량)
T00036,호박찌개_고추장,호박찌개,찌개 및 전골류,고추장,,가정식(분석 함량)
U00001,고구마_찐고구마,고구마,찜류,찐고구마,,가정식(분석 함량)
U00002,가오리찜,가오리찜,찜류,,,가정식(분석 함량)
U00003,갈비찜_소고기,갈비찜,찜류,소고기,,가정식(분석 함량)
U00004,감자_찐감자,감자,찜류,찐감자,,가정식(분석 함량)
U00005,깻잎찜,깻잎찜,찜류,,,가정식(분석 함량)
