식품코드,식품명,식품중량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),비타민 B12(μg),엽산(μg DFE),비타민 E(mg α-TE),과당(g),맥아당(g)
G00001,국밥_돼지머리,900g,137,71.6,6.7,5.16,0.63,15.94,0.16,0.7,9.0,0.24,24.0,47.0,181.0,5.0,0.0,61.0,0.09,0.053,0.0,0.04,0.0,23.82,1.47,0.03,0.13,5.3,0.0,0.16,0.0
G00002,국밥_순대국밥,900g,75,83.7,3.17,2.28,0.48,10.38,0.17,1.3,9.0,0.67,31.0,34.0,126.0,5.0,0.0,55.0,0.062,0.024,0.0,0.21,0.0,48.69,1.26,0.01,0.0,6.59,0.0,0.17,0.0
G00003,국밥_콩나물,780g,52,86.8,1.45,0.24,0.56,10.93,0.0,1.2,6.0,0.18,16.0,42.0,172.0,2.0,0.0,22.0,0.14,0.022,0.173,1.26,0.0,0.0,0.12,0.0,0.0,5.27,0.0,0.0,0.0
G00004,기장밥,200g,166,59.1,3.44,0.57,0.15,36.77,0.0,1.5,4.0,0.33,28.0,25.0,1.0,0.0,0.0,0.0,0.0,0.005,0.205,0.29,0.0,0.0,0.08,0.0,0.0,2.52,0.0,0.0,0.0
G00005,김밥,230g,140,69.5,4.84,4.55,1.11,19.98,0.0,1.4,36.0,0.3,55.0,118.0,307.0,113.0,3.0,1318.0,0.157,0.043,0.674,3.76,0.0,19.3,1.1,0.02,0.87,21.47,0.0,0.0,0.0
G00006,김밥_김치,270g,130,71.2,4.3,4.03,1.29,19.17,0.29,1.8,44.0,0.31,64.0,126.0,349.0,41.0,8.0,392.0,0.207,0.044,0.0,3.43,0.0,47.38,1.06,0.02,0.91,36.62,0.0,0.0,0.0
G00007,김밥_날치알,260g,177,59.8,6.1,4.26,1.13,28.66,1.43,2.1,20.0,0.62,82.0,118.0,299.0,61.0,15.0,559.0,0.204,0.058,0.769,0.78,0.0,55.15,1.2,0.03,1.49,20.09,0.0,0.23,0.28
G00008,김밥_돈가스,320g,202,55.8,5.77,5.81,0.95,31.64,1.33,2.1,15.0,0.49,74.0,134.0,241.0,22.0,0.0,259.0,0.091,0.059,0.0,0.18,0.0,6.52,1.07,0.04,1.23,9.14,0.0,0.38,0.31
G00009,김밥_소고기,250g,179,61.2,6.46,5.56,1.0,25.78,0.03,1.5,30.0,0.87,64.0,96.0,267.0,35.0,9.0,318.0,0.092,0.056,0.0,2.74,0.0,39.04,1.6,0.17,0.71,20.48,0.0,0.02,0.0
G00010,김밥_참치,250g,174,64.2,7.0,7.22,1.32,20.26,0.71,1.8,51.0,0.72,73.0,123.0,335.0,66.0,10.0,680.0,0.228,0.068,0.0,3.06,0.0,33.45,1.4,0.04,0.58,25.04,0.0,0.01,0.55
G00011,김밥_채소,280g,158,63.8,4.6,3.65,1.28,26.65,0.14,3.4,38.0,0.44,69.0,164.0,309.0,160.0,5.0,1851.0,0.321,0.071,1.061,1.81,0.0,29.93,0.99,0.02,1.05,19.05,0.0,0.06,0.0
G00012,김밥_치즈,270g,177,63.3,6.24,7.03,1.33,22.1,0.21,2.6,6.0,0.21,15.0,41.0,169.0,58.0,13.0,532.0,0.356,0.074,0.0,2.15,0.0,35.07,2.43,0.13,0.63,22.13,0.0,0.01,0.17
G00013,김밥_풋고추,290g,169,61.9,4.88,4.41,1.32,27.52,0.09,3.3,19.0,0.49,70.0,148.0,327.0,104.0,10.0,1117.0,0.145,0.079,1.145,2.92,0.0,37.81,1.24,0.03,1.28,21.44,0.0,0.0,0.0
G00014,덮밥_낙지,350g,150,65.9,5.88,3.34,0.8,24.12,2.16,2.3,15.0,0.36,47.0,95.0,212.0,9.0,0.0,105.0,0.0,0.069,0.0,0.81,0.0,32.45,0.37,0.01,0.2,14.23,0.0,0.5,0.13
G00015,덮밥_닭고기,410g,125,70.8,11.4,2.18,0.76,14.82,1.07,1.1,21.0,0.53,108.0,137.0,153.0,63.0,50.0,167.0,0.144,0.122,0.0,0.0,0.0,92.29,0.79,0.01,0.35,25.4,0.0,0.6,0.0
G00016,덮밥_돼지고기(제육),470g,202,62.0,9.43,10.77,0.95,16.86,1.98,1.4,11.0,0.49,101.0,196.0,174.0,31.0,3.0,343.0,0.319,0.16,15.33,0.0,0.0,27.94,3.42,0.05,0.13,14.41,0.0,0.44,0.0
G00017,덮밥_불고기,400g,182,60.2,6.6,5.31,0.97,26.96,0.07,2.8,6.0,0.82,73.0,138.0,253.0,1.0,0.0,7.0,0.163,0.06,0.0,0.0,0.0,15.83,1.4,0.24,0.45,4.41,0.0,0.07,0.0
G00018,덮밥_오징어,360g,135,68.1,7.18,2.01,0.81,21.94,0.66,2.6,8.0,0.22,78.0,135.0,162.0,46.0,1.0,539.0,0.003,0.019,0.014,0.0,0.0,46.44,0.24,0.0,0.57,12.03,0.0,0.23,0.0
G00019,보리밥,200g,161,59.9,2.9,0.24,0.24,36.77,2.57,2.4,7.0,0.2,34.0,28.0,4.0,0.0,0.0,0.0,0.035,0.005,0.045,0.02,0.0,0.0,0.1,0.0,0.0,4.98,0.0,0.0,2.57
G00020,볶음밥,350g,183,56.9,5.56,2.76,0.84,33.97,0.0,1.7,13.0,0.52,61.0,99.0,212.0,40.0,10.0,356.0,0.12,0.034,0.109,4.13,0.0,29.28,1.1,0.03,0.0,13.91,0.0,0.0,0.0
G00021,볶음밥_계란,260g,225,56.6,6.62,11.28,1.25,24.23,0.17,1.8,18.0,0.44,94.0,159.0,318.0,47.0,16.0,378.0,0.077,0.085,0.0,31.12,0.0,62.63,2.2,0.05,0.15,27.44,0.0,0.17,0.0
G00022,볶음밥_김치,330g,167,68.1,5.32,9.18,1.62,15.74,13.89,2.8,30.0,0.7,72.0,168.0,470.0,25.0,13.0,141.0,0.27,0.097,0.015,4.17,0.0,70.41,1.43,0.04,0.28,25.65,0.0,6.5,0.0
G00023,볶음밥_새우,370g,172,64.1,6.31,6.14,0.61,22.85,0.71,1.6,12.0,0.35,62.0,65.0,146.0,38.0,13.0,304.0,0.003,0.1,1.016,4.12,0.0,70.72,1.19,0.03,0.24,36.54,0.0,0.15,0.0
G00024,볶음밥_소고기,260g,176,63.2,7.59,6.48,0.92,21.76,0.08,2.1,18.0,0.62,86.0,167.0,215.0,31.0,18.0,151.0,0.038,0.127,6.819,4.8,0.0,50.02,1.47,0.07,0.37,22.57,0.0,0.08,0.0
G00025,볶음밥_참치,230g,180,57.4,4.62,3.27,1.83,32.9,0.12,1.6,15.0,0.11,46.0,66.0,631.0,7.0,0.0,90.0,0.0,0.013,0.23,0.18,0.0,2.76,0.49,0.02,0.22,6.1,0.0,0.0,0.06
G00026,볶음밥_채소,260g,182,59.7,4.72,5.39,1.44,28.74,0.29,2.3,17.0,0.42,61.0,156.0,408.0,32.0,15.0,210.0,0.038,0.062,0.0,0.76,0.0,46.24,0.84,0.02,0.35,20.64,0.0,0.11,0.0
G00027,볶음밥_표고버섯,300g,184,58.9,3.36,4.81,1.12,31.79,0.0,2.6,5.0,0.3,39.0,167.0,299.0,0.0,0.0,0.0,0.04,0.043,0.083,0.0,0.0,0.0,0.5,0.02,0.0,6.98,0.0,0.0,0.0
G00028,비빔밥,450g,142,68.9,6.86,4.32,1.11,18.84,0.05,2.0,31.0,1.04,79.0,180.0,232.0,73.0,9.0,771.0,0.336,0.058,0.0,2.02,0.0,42.26,0.95,0.06,0.42,40.59,0.0,0.05,0.0
